polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=726/20260708_014725_00735_yxnpm-3ab7f9f7-7e0a-4f0a-a6bb-18c0636204d4.parquet attempt=2 error=software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=694/20260708_014714_00703_yxnpm-d7bafa2a-4bbf-431c-a163-c82905fdda7f.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=694/20260708_014714_00703_yxnpm-d7bafa2a-4bbf-431c-a163-c82905fdda7f.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=693/20260708_014713_00702_yxnpm-da90b4fe-e87a-4f65-ae1f-50b6a2e5acd5.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=693/20260708_014713_00702_yxnpm-da90b4fe-e87a-4f65-ae1f-50b6a2e5acd5.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=692/20260708_014713_00701_yxnpm-3f622ab5-1e57-4ce0-9e86-208afe7b5c25.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=692/20260708_014713_00701_yxnpm-3f622ab5-1e57-4ce0-9e86-208afe7b5c25.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=690/20260708_014712_00699_yxnpm-181ab88f-a5d3-41c1-a26f-2ad1fbc3917a.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=690/20260708_014712_00699_yxnpm-181ab88f-a5d3-41c1-a26f-2ad1fbc3917a.parquet attempt=2 error=java.lang.RuntimeException: software.amazon.awssdk.core.exception.SdkClientException: Unable to execute HTTP request: Timeout waiting for connection from pool (SDK Attempt Count: 1) Error encountered attempting to delete file
polaris-1  | 2026-07-08 01:57:18,741 WARN  [org.apa.pol.ser.tas.FileCleanupTaskHandler] [,] [,,,] () file=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/data/part_id=691/20260708_014713_00700_yxnpm-b2963ba8-56df-4c42-aa8e-16684678b99a.parquet tableIdentifier=test.orders baseFile=s3://bucket123/test/orders-63c06aa8ca9341d48802a3278558d6e7/metadata/a0048d4c-cbda-4a6f-8a30-f640f5883790-m1.avro Exception caught deleting data file
